Ticket id,Interaction id,Ticket Summary,Interaction content,Type 1,Type 2,Type 3,Type 4
23555,65977,[AppGallery]Problemas e sugestões,"Descrição Não compreendo o DNS nunca estar a funcionar', será que me podem ajudau??? Informações de contacto *****(PHONE). - xxxxx@xxxx.com Enviado do meu telemóvelDescription I don't understand why DNS is never working', can you help me? Contact information *****(PHONE). - xxxxx@xxxx.com ",AppGallery ,Problem/Fault,General,Cannot connect - Server
23534,65883,[AppGallery]Probleme und Vorschläge,Beschreibung KOMIT Lässt sich nich INSTALLIEREN. Kontaktinformationen xxxxx@xxxx.com Von meinem Huawei-Telefon gesendet,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Unknown
23477,65661,Re: support.pt 自动回复: [AppGallery]Problems and suggestions,"Huawi health On Mon, 5 Sept *****(PHONE), 1:40 pm , wrote: Hi, We appreciate your contact! Our support representatives will check your message and get back to you as soon as possible. We appreciate your patience and cooperation. Sincerely, Aspiegel ",AppGallery ,Others,Unknown,Unknown
23452,65616,[AppGallery]Problemas e sugestões,Description can't install Contact Information 962 225 736 .,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23429,65569,[AppGallery]Problemas e sugestões,Description does not install Contact information xxxxx@xxxx.comDescrição não instala Informações de contacto xxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23395,65482,[AppGallery]Problemi e soluzioni,Description In the area where I am (*****(LOC)) there is no connection (3 Fastweb devices) and we have difficulties with calls. No connection to the Internet. Contact information *****(PHONE) - *****(PHONE) - *****(PHONE) ,AppGallery ,Others,Unknown,Unknown
23230,65024,[AppGallery]Проблеми и предложения,Description What's up Contact info *****(PHONE) ,AppGallery ,Others,Unknown,Unknown
23229,65022,[AppGallery]Проблеми и предложения,Описание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei,AppGallery ,Others,Unknown,Unknown
23212,64982,[AppGallery]Проблеми и предложения,OK Описание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei,AppGallery ,Others,Unknown,Unknown
23194,64946,[AppGallery]Problemer og forslag,Beskrivelse Installation fejl Kontaktoplysninger *****(PHONE),AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23193,64944,[AppGallery]Problemer og forslag,Beskrivelse Installation fejl Kontaktoplysninger +*****(PHONE) *****(PER),AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23189,64938,[AppGallery]Проблеми и предложения,Описание Умолявам ви управете ги. Информация за контакт xxxxx@xxxx.com,AppGallery ,Suggestion,General,Personal data
23188,64936,[AppGallery]Проблеми и предложения,Описание У. Информация за контакт xxxxx@xxxx.com,AppGallery ,Suggestion,General,Personal data
23056,64550,[AppGallery]Problems and suggestions,"Description My phone data and privacy is insecure...all apps and accounts are copied and shared by third parties without my consent. I wish to report that everything used here is still not private. As we speak, I'm scared and frustrated about this issue. Contact information xxxxx@xxxx.com",AppGallery ,Suggestion,General,Personal data
23055,64549,[AppGallery]Problemy i sugestie,Opis Brak możliwości instalacji Informacje kontaktowe xxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23054,64548,[AppGallery]Problemy i sugestie,Description No installation possible Contact information xxxxx@xxxx.comOpis Brak możliwości instalacji Informacje kontaktowe xxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23052,64544,[AppGallery]Sorunlar ve öneriler,Açıklama Yükleme yapmamaktadır. İletişim bilgileri 0 543 375 79 90,AppGallery ,Problem/Fault,General,AppGallery not loading
23050,64542,Re: RE : OD: Full refund from first day,"Hello, I already sent to them e-mail twice with reminder two weeks ago, but they never replied. They fixed bug after I was impacted, and they want to shut it down to be silence as we see. I kindly asking to make a refund because of this situation. Thank You for Your support to making it possible. Kind regards, Client From: xxxxx@xxxx.com Sent: Wednesday, August 10, *****(PHONE) 2:30 PM To: xxxxx@xxxx.com Subject: RE : OD: Full refund from first day Dear customer, We appreciate you patience, our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund, you can provide that proof to us. You should be able to contact the Customer support of the game on: https://aihelp.net/privacypolicy/ or Customer Service: xxxxx@xxxx.com. If you have further game issue, you also can directly contact our dedicated game operation staff through discord channel. Here is the discord link (Poland): https://discord.gg/tkYZC5CAGu that serves your country. We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Ramon Aspiegel ",AppGallery ,Problem/Fault,Third Party APPs,Refund
23049,64540,[AppGallery]Problémy a odporúčania,Description Failed to install update mi vydeoplayer Contact information xxxxx@xxxx.comOpis Zlyhava inštalacia aktualizácie mi vydeoplayer Kontaktné informácie xxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps
23047,64532,Ynt: RE : Ynt: RE : Unreceived Huawei Points,"It is ok, I don't request anything. You may close the ticket. Thanks *****(PERSON): xxxxx@xxxx.com Gönderildi: 1 Eylül *****(PHONE) Perşembe 19:09 Kime: xxxxx@xxxx.com Konu: RE : Ynt: RE : Unreceived *****(PERSON) Dear user, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about your Campaign Cashback 15%. To create a better game experience, we built a discord channel to update you the latest game campaign, discount activities, and also provide you direct services. We recommend you to use our discord channel. We recommend you contact us via discord channel : https://discord.gg/tkYZC5CAGu from your computer desktop directly. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei id 2. Your service country AppGallery> Me> Settings> Country 2. The name of the game app 3. The name of the campaign you participated in 4. Outline how many HUAWEI Points/Coupon/Prize you were meant to receive 5. Your discord account contact information if applicable If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23046,64531,Aspiegel Support issue submit,Product: AppGallery & Games Requests: Other Requests Contact Full Name: Miguel Losada Seoane Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Huawei Id Account: xxxxx@xxxx.com Summary of the issue: Me enviaron una Huawei scale por que gane un sorteo pero después de más de una semana no la recibí y no sé con quien me tengo que poner en contacto...un saludo Home | News | Events | Products | Partners | Support Copyright Aspiegel SE,AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23044,64525,[AppGallery]Problemas y sugerencias,Descripción Tengo el celular petado y no me deja desistalar nada de nada Información de contacto Exxxxx@xxxx.com,AppGallery ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery
23029,64464,Re: RE : Refund request,I did and all they did 3 days soft ban which is ridiculous ),AppGallery ,Problem/Fault,Third Party APPs,Refund
23025,64447,Ynt: RE : Unreceived Huawei Points,"Hello again Here is the information you requested : 1. My Huawei ID : xxxxx@xxxx.com 2. Your service country : Turkey 2. The name of the game app : World Of Tanks Blitz 3. The name of the campaign you participated in : App Gallery Game Festival Campaign (15% Cashback) 4. How many HUAWEI Points/Coupon I was meant to receive : About 9 TL 5. My discord account contact information : Icebreaker #*****(PHONE) Gönderen: xxxxx@xxxx.com Gönderildi: 1 Eylül *****(PHONE) Perşembe 16:53 Kime: xxxxx@xxxx.com Konu: RE : Unreceived *****(PERSON) Dear customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about World Of Tanks Blitz cashback. To build better game experience, we build discord channel to update you the latest game campaign, discount activities, and provide you direct services. We recommend you to use our discord channel. Please go to Huawei App Gallery>Campaign>Click any valid campaign on the list> find discord icon in the page > Click the link and Join. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei ID. 2. Your service country AppGallery> Me> Settings> Country. 2. The name of the game app. 3. The name of the campaign you participated in. 4. Outline how many HUAWEI Points/Coupon you were meant to receive. 5. Your discord account contact information if applicable. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would very much appreciate your feedback on our email exchange, as we need your opinion to continue to improve our service. Therefore, we invite you to fill out the survey that will soon be sent to the email address you used to contact us. Sincerely, *****(PERSON). *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23025,64468,RE : Ynt: RE : Unreceived Huawei Points,"Dear user, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about your Campaign Cashback 15%. To create a better game experience, we built a discord channel to update you the latest game campaign, discount activities, and also provide you direct services. We recommend you to use our discord channel. We recommend you contact us via discord channel : https://discord.gg/tkYZC5CAGu from your computer desktop directly. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei id 2. Your service country AppGallery> Me> Settings> Country 2. The name of the game app 3. The name of the campaign you participated in 4. Outline how many HUAWEI Points/Coupon/Prize you were meant to receive 5. Your discord account contact information if applicable If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23024,64446,[AppGallery]Questions et suggestions,Description Pb de connexion au wifi et aux données mobiles. Informations de contact xxxxx@xxxx.com Envoyé depuis mon mobile Huawei,AppGallery ,Suggestion,AppGallery-Use,Others
23024,64465,RE : [AppGallery]Questions et suggestions,"Cher client, Merci d'avoir contacté Aspiegel. Nous espérons que vous allez bien. Cet email est au sujet de votre souci concernant votre problème avec AppGallery. Afin d'être en mesure d'approfondir l'enquête, pouvez-vous s'il vous plaît nous fournir les éléments suivants : 1. Une description du problème 2. Une capture d'écran ou un enregistrement vidéo de l'erreur 3. Quand le problème s'est produit 4. Votre identifiant Huawei : App Gallery>HMS core>Ouvrir puis faire une capture d'écran. 5. Le modèle de votre téléphone 6. Le numéro SN de votre appareil 7. Version App Gallery: Huawei App Gallery>Moi>À propos de 8. Version de HMS Core : Huawei App Gallery>HMS Core>Ouvrir>Paramètres>À propos de 9. Application concernée 10. Version de l'application concernée 11. Le journal de App Gallery Merci de votre coopération. Pour d’autres questions, n’hésitez pas à répondre à ce fil de discussion et nous serons heureux de vous guider à travers vos doutes. Cordialement, *****(PER) d'assistance à la clientèle d'Aspiegel A Aspiegel SE é uma empresa constituída segundo as leis da Irlanda, com sede em *****(LOC), Irlanda. Aspiegel SE é o provedor de Huawei Mobile Services para Huawei e Honor proprietários de dispositivos na Europa, Canadá, Austrália, Nova Zelândia e outros países. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:23 To : xxxxx@xxxx.com Subject : [AppGallery]Questions et suggestions Description Pb de connexion au wifi et aux données mobiles. Informations de contact xxxxx@xxxx.com Envoyé depuis mon mobile Huawei",AppGallery ,Suggestion,AppGallery-Use,Others
23021,64426,[AppGallery]Problems and suggestionsї[AppGallery]Проблеми та пропозиції,Опис Неможливо встановити додаток Контактна інформація Ixxxxx@xxxx.com Надіслано з мого телефону Huawei,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23017,64414,Re: RE : Refund request,"That is very unfortunate because I've been contacting PayPal and Huawei for the past few months and never gotten and reply until I found out this email. I did report it to the game developer but they decided to only soft ban those people for 3 days and let them keep whatever they gotten for illegal third party recharge, which makes the game environment unfair for us paying the full price using legit recharge platform. )",AppGallery ,Problem/Fault,Third Party APPs,Refund
23017,64443,RE : Refund request,"Dear customer, We apologize for the inconvenience. We advise you to contact the developers for your refund request. Thank you for your understanding. Sincerely, Alexandru *****(PERSON) ",AppGallery ,Problem/Fault,Third Party APPs,Refund
23012,64379,[AppGallery]Problems and suggestions,Description Haiii buba Contact information BEYEKEITAxxxxx@xxxx.com ,AppGallery ,Others,Unknown,Unknown
23012,64388,Informations,"Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. In order to give you the best solution, could you please clarify your request with following information: A description of the issue A screenshot or record video of error When issue happened Your Huawei Id: App Gallery>HMS core>Open then take a screenshot Your phone model SN number of your device App Gallery Version: Huawei App Gallery>Me> About HMS Core Version: Huawei App Gallery>HMS core>Open> Settings> About Related app Related app version The Log of App Gallery If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. With kind regards, Marian *****(PERSON) ",AppGallery ,Others,Unknown,Unknown
23007,64360,Unreceived Huawei Points,Hello I have recently made an in-game purchase (World Of Tanks Blitz) but haven't received 15% Huawei Points because of that purchase. My Huawei account has the the same e-mail with this one. Please transfer the relevant amount of Huawei points into my account. Best Regards,AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23007,64396,RE : Unreceived Huawei Points,"Dear customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is in regards to your concern about World Of Tanks Blitz cashback. To build better game experience, we build discord channel to update you the latest game campaign, discount activities, and provide you direct services. We recommend you to use our discord channel. Please go to Huawei App Gallery>Campaign>Click any valid campaign on the list> find discord icon in the page > Click the link and Join. If you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. Your Huawei ID. 2. Your service country AppGallery> Me> Settings> Country. 2. The name of the game app. 3. The name of the campaign you participated in. 4. Outline how many HUAWEI Points/Coupon you were meant to receive. 5. Your discord account contact information if applicable. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would very much appreciate your feedback on our email exchange, as we need your opinion to continue to improve our service. Therefore, we invite you to fill out the survey that will soon be sent to the email address you used to contact us. Sincerely, *****(PERSON). *****(PERSON) ",AppGallery ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire
23003,64352,[AppGallery]Probleme și sugestii,Descriere Nu merge sa instalez stumble guys Informații contact xxxxx@xxxx.com Trimis de pe telefonul meu Huawei,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23003,64386,RE : [AppGallery]Probleme și sugestii,"Stimate client, Vă mulțumim că ați contactat Aspiegel. Sperăm că vă simțiți bine. Pentru a vă oferi cea mai bună soluție, vă rugăm să specificați cererea dumneavoastră cu următoarele informații: 1. o descriere a problemei 2. o captură de ecran sau o înregistrare video a erorii 3. momentul în care a apărut problema 4. ID-ul tău Huawei: App Gallery>HMS core>Deschide și apoi fă o captură de ecran 5. Modelul telefonului dvs. 6. Numărul SN al dispozitivului dumneavoastră 7. Versiunea App Gallery: Huawei App Gallery>Me> About (Despre) 8. Versiunea HMS core: Huawei App Gallery>HMS core>Deschideți> Settings> About. 9. Aplicație conexă 10. versiunea aplicației aferente 11. jurnalul galeriei de aplicații Dacă aveți întrebări suplimentare, vă rugăm să răspundeți la acest mesaj de e-mail și vom fi bucuroși să vă ajutăm. Cu deosebită considerație, Andrea Aspiegel ",AppGallery ,Suggestion,AppGallery-Use,Others
23002,64348,Aspiegel Support issue submit,"Product: In-App Purchase Requests: View, change or cancel subscriptions Contact Full Name: Lukas Pur Phone Number: *****(PHONE) Contact Email Address: Lxxxxx@xxxx.com Summary of the issue: Hello I have problem with music player app JetAudio+ I bought the app long time ago from Play store. Long before *****(PERSON) Id was a thing and after last phone update i am reqired to buy it again via *****(PERSON) Id Home | News | Events | Products | Partners | Support Copyright Aspiegel SE",AppGallery ,Others,Unknown,Unknown
23002,64355,RE : JetAudio+,"Dear *****(PERSON), Thank you for contacting *****(PERSON). We hope you're doing well. This email is regarding your concern about buying the JetAudio+ app from the PlayStore, and after the update you are required to purchase it again via *****(PERSON)wei ID. Don't worry I perfectly understand your request and will be happy to assist you further with the best solution. In order for us to investigate this issue further , would you be so kind to send us the following details : Model : Go to Settings>About phone>model When did the problem : occur date & time *****(PERSON)wei ID : Email address or phone number used to register HUAWEI ID *****(PERSON)wei ID register country/region : Go to Settings>HUAWEI ID>Settings>Country Screenshot/video of the issue Build number : Go to Settings>About phone >Build number HMS version : Go to Settings>About phone >Build number SN (Serial Number of phone) : Go to Settings>About phone>Status>Serial number For further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Cristiana *****(PERSON) ",AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
22994,64318,[AppGallery]Problems and suggestions,Description No instrol Contact information *****(PHONE) ,AppGallery ,Suggestion,General,Others
22994,64321,RE : [AppGallery]Problems and suggestions,"Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. In order to give you the best solution, could you please clarify your request with following information: A description of the issue A screenshot or record video of error When issue happened Your Huawei Id: App Gallery>HMS core>Open then take a screenshot Your phone model SN number of your device App Gallery Version: Huawei App Gallery>Me> About HMS Core Version: Huawei App Gallery>HMS core>Open> Settings> About Related app Related app version The Log of App Gallery If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Alexandra *****(PERSON) ",AppGallery ,Others,Unknown,Unknown
22983,64260,[AppGallery]Probleme și sugestii,Descriere Nu se instalează Informații contact *****(PHONE) Trimis de pe telefonul meu Huawei,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
22983,64268,RE : [AppGallery]Probleme și sugestii,"Stimate client, Vă mulțumim că ați contactat Aspiegel. Sperăm că vă simțiți bine. Acest e-mail este în legătură cu solicitarea dvs. privind problema AppGallery. Pentru a o putea investiga în continuare, vă rugăm să ne furnizați următoarele: 1. O descriere a problemei 2. O captură de ecran sau o înregistrare video a erorii 3. Momentul în care s-a produs problema 4. ID-ul dvs. Huawei: App Gallery>HMS core>Deschideți apoi faceți o captură de ecran 5. Modelul telefonului dvs. 6. Numărul SN al dispozitivului dvs. 7. Versiunea App Gallery: Huawei App Gallery>Me> About 8. HMS Core Version: Huawei App Gallery>HMS core>Deschideți>Setări>Despre 9. Aplicație aferentă 10. Versiunea aplicației aferente 11. Jurnal de aplicații Vă mulțumim pentru cooperare. Pentru întrebări suplimentare, vă rugăm să nu ezitați să răspundeți la acest mesaj și vom fi bucuroși să vă ajutăm să vă clarificați nelămuririle. Cu stimă, Stela Echipa de asistență pentru clienți Aspiegel A Aspiegel SE é uma empresa constituída segundo as leis da Irlanda, com sede em Dublin, Irlanda. Aspiegel SE é o provedor de Huawei Mobile Services para Huawei e Honor proprietários de dispositivos na Europa, Canadá, Austrália, Nova Zelândia e outros países. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 11:41 To : xxxxx@xxxx.com Subject : [AppGallery]Probleme și sugestii Descriere Nu se instalează Informații contact *****(PHONE) Trimis de pe telefonul meu Huawei",AppGallery ,Others,Unknown,Unknown
22982,64259,Problems and suggestions متجر التطبيقات]المشاكل والاقتراحات,التفاصيل نقل الصادرة. الواردة معلومات التواصل *****(PHONE),AppGallery ,Others,Unknown,Unknown
22980,64253,Aspiegel Support issue submit,"Product: Other products Requests: Requests Contact Full Name: Aust horst Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Summary of the issue: Deutsch bitte Ich habe bei der Gamescom Halle 7 appgaliere, Glücksrad die watch GT3 gewonnen. Ich habe keine weiteren Dokumente erhalten das diese offiziell in meinem Besitz ist.wo bekomme ich das her Home | News | Events | Products | Partners | Support Copyright Aspiegel SE",AppGallery ,Others,Unknown,Unknown
22980,64265,GT3,"Sehr geehrter Herrn *****(PER), Wir empfehlen Ihnen, uns über den Discord-Kanal https://discord.gg/daCXQNc4QF direkt von Ihrem Computer aus zu kontaktieren. Wenn Sie Schwierigkeiten bei der Nutzung von Discord haben oder es vorziehen, dass wir den Fall bearbeiten, geben Sie uns bitte folgende Informationen für weitere Untersuchungen: 1. Ihre Huawei-ID 2. Ihr Dienstland AppGallery> Ich> Einstellungen> Land 2. Der Name der Spiele-App 3. Der Name der Kampagne, an der Sie teilgenommen haben 4. Geben Sie an, wie viele HUAWEI-Punkte/Gutscheine/Prämien Sie erhalten sollten 5. Ihre Discord-Kontaktinformationen, falls zutreffend Wenn Sie weitere Fragen haben, antworten Sie bitte auf diesen E-Mail-Thread und wir helfen Ihnen gerne bei Ihren Zweifeln weiter. Mit freundlichen Grüßen, *****(PER) Kundenservice Die Aspiegel SE ist eine Gesellschaft nach irischem Recht mit Sitz in *****(LOC), *****(LOC). Aspiegel SE ist der Anbieter von Huawei Mobile Services für Huawei- und Honor-Gerätebesitzer in *****(LOC), *****(LOC), *****(LOC), *****(LOC) und anderen Ländern. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 11:35 To : xxxxx@xxxx.com Subject : Aspiegel Support issue submit Product: Other products Requests: Requests Contact Full Name: Aust horst Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Summary of the issue: Deutsch bitte Ich habe bei der Gamescom Halle 7 appgaliere, Glücksrad die watch GT3 gewonnen. Ich habe keine weiteren Dokumente erhalten das diese offiziell in meinem Besitz ist.wo bekomme ich das her Home | News | Events | Products | Partners | Support Copyright Aspiegel SE",AppGallery ,Others,Unknown,Unknown
